Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-07-08,In the Mood for Love,2000,https://boxd.it/ag4jC1,4,,"Visually, this is pure poetry. Narrow corridors, reflection, foreground clutter. Everything feels tight like every characters are trapped inside a world.

That theme music...every time it played. It was like time slowed down. People walking in slow motion, drenched in regret.

Although the ending didn't completely hit me. May be it's one of those things u need to live through to really feel. It feels like someone else's story.

I think I will come back for this in few years,  when I have been through something like that, and this 4 will quietly turn into 5.
👍🏻👍🏻👍🏻",,2025-07-08
2025-07-12,Hereditary,2018,https://boxd.it/aigPBh,3,,"Literally yaar... overhyped and i had so much expectation🙏🙏
But the acting performance was so good and the sound design.",,2025-07-11
2025-07-13,Blue Velvet,1986,https://boxd.it/ajg7df,3,,"""hey, your dad is dying, anyway..here's a severed ear. Go solve a mystery.""
Dude WTF..",,2025-07-13
2025-07-16,Superman,2025,https://boxd.it/alzW5x,4,,"Nicholas hoult taught me that I m not hating to my full potential.

<b>1A 👹 1A 👹 1A 👹 1A 👹</b>",,2025-07-15
2025-07-19,Housefull 5,2025,https://boxd.it/aodTAv,1.5,,"Watched both versions, still can't find plot.
Jokes written by 14 y/o teenager who just learned what ""69"" means. 🤡🤡

Pretty sure every actress signed a contract that said: ""if your cleavage isn't visible in every scene, you r fired.""",,2025-07-19
2025-07-21,Devi,1960,https://boxd.it/ap9xLH,4.5,,"Satyajit Ray once told in a interview:<blockquote>""Once made a film called The goddess (Devi) . It dealt with religious dogmatism. It didn't attack religion as such. It attacked dogmatism, the extreme foam of religion. But people were writing in a paper that 'oh! because Mr. Ray is not a Hindu, he was a brahmo, he is making such films against Hinduism' and all that. But they r stupid people, u can't take them seriously into your account.

And this happens in India all the time. And we have a fairly backward audience here. Inspite of a film society movement. If u consider a large audience, ita backward audience, unsophicated audience""</blockquote>",,2025-07-20
2025-07-27,Fury,2014,https://boxd.it/auPJzn,4,,"<b>One tank, five souls.</b>
It's a gut wrenching rude through brotherhood, sacrifice and silent in chaos.",,2025-07-27
2025-07-29,City of God,2002,https://boxd.it/awBPIv,5,,"<blockquote>""Honesty doesn't pay, sucker.""

""Do u want it in a hand..? Or in a foot.?""""</blockquote>City of God..? More like City of please God No.",,2025-07-29
2025-08-01,Aagantuk,2023,https://boxd.it/aykxdj,,,"ખબર નઈ chutiyo આટલું બધું ઇંગ્લિશ કેમ બોલતો તો..
(Rating પણ નઈ આપવું)",,2025-07-31
2025-08-03,Perfect Blue,1997,https://boxd.it/aA3CyP,4.5,,"Me: it's just a anime.
Perfect blue: WRONG.",,2025-08-03
2025-08-04,Manvini Bhavai,1993,https://boxd.it/aANibj,5,,"Dedicatedly created it's TMDB profile so this gem could finally have its place on Letterboxd.

Pannalal patel writes beautifully about kalu and Raju's unspoken love, their survival, amidst starvation and the endurance of human dignity. 

First time I read that one chapter of this novel in school in Gujarati textbook named ""ભૂખથીય ભૂંડી ભીખ"" (Begging is worse than hunger) and years after that I read novel.",,2025-08-03
2025-08-08,Saiyar Mori Re,2022,https://boxd.it/aEubyt,3.5,,Gujarati 'La La Land' is that you..??,,2025-08-08
2025-08-11,Casino,1995,https://boxd.it/aGcthn,4,,In opening scene we can clearly fucking see mannequin in burning car..🤦🤦,,2025-08-10
2025-08-12,Pariyerum Perumal,2018,https://boxd.it/aHaoSN,4,,"I will edit this review after watching Dhadak 2...👍🏻👍🏻

Edit: this and dhadak 2 both are great their own places. 

But no one can do visual storytelling better than Mari Selvaraj.",,2025-08-11
2025-08-13,Photograph,2019,https://boxd.it/aHOawX,3.5,,"""Agar kal aapke paas time he to hum picture dekhne chal sakte he..."" 🥰🥰",,2025-08-12
2025-08-14,Fallen Angels,1995,https://boxd.it/aJ5igV,4,,"Horny, sad and sponsered by Marlboro and fisheye lenses...💫💫👍🏻

एक ही सपना Michelle Reis के साथ रात को बाइक पे घूमना...🥀🥀",,2025-08-14
2025-08-17,La Haine,1995,https://boxd.it/aLhqNv,4,,"Vinz: ""you talkin' to me..?""
Me: bro please put that gun down. 🔫🔫

Banlieue boys, b/w vibes, and a gun that ruins everything. Feels less like a movie, more like a ticking time bomb..",,2025-08-17
2025-08-24,Kumbalangi Nights,2019,https://boxd.it/aPVcLV,4.5,,"Brotherhood under one broken roof.🌌

And that last 15 minutes, absolute wild and unforgettable. Turns family drama to psycho thriller. 

<b>Messy, chaotic, lovable, quietly beautiful, and acted to perfection,  this is family cinema at its best 🌊🏠❤️.</b>",,2025-08-24
2025-08-25,The Secret Life of Walter Mitty,2013,https://boxd.it/aRcTuL,4,,"<b>""You know who looks good in beard..??
Dumbledore. Not you."" </b>",,2025-08-25
2025-08-25,Chungking Express,1994,https://boxd.it/aRdexh,3,,"<b>The camera was moving more than the story. </b>
<b>Quentin Tarantino hyped this up and now I feel like I bought bootleg vibes...</b>",,2025-08-25
2025-08-31,Life of Pi,2012,https://boxd.it/aUIv3d,4.5,Yes,"<blockquote><b>""</b>At the edge of the jungle, he stopped. I was certain he was going to look back at me, flatten his ears to his head, growl. That he would bring our relationship to an end in some way. But he just stared ahead into the jungle.""</blockquote>",,2025-08-31
2025-09-01,Vash Level 2,2025,https://boxd.it/aViUub,4,,"<b>""Gonna give money back to my all friends..🙏🙏""</b>

<b>""A Justified sequel...""</b>

<b>Hitu kanodia literally surpassed his father in term of acting. Damm what a performance by each and every actor.</b>

Man first half is absolute wild, so fast and gripping. Like ahh it's interval..??
Ending is good, not bad. But I fee like they could have done more in ending.

Stunt choreography is so so good. Like without cut. It's feel real.",,2025-08-31
2025-09-02,Blade Runner 2049,2017,https://boxd.it/aWJkAv,5,Yes,"<b>""You look lonely....and so does the future.""</b>",,2025-09-02
2025-09-03,Danny Jigar - Ek Matra,2024,https://boxd.it/aXnxBB,2.5,,"Another level of brainrot in gujrati cinema.
Break the 5th, 6th and 7th wall.
It's so bad it's good.
Another level of experience done by Krishnadev Yagnik.<blockquote><b>એ તો એવું...</b></blockquote>",,2025-09-03
2025-09-05,Metro... In Dino,2025,https://boxd.it/aYxuAp,3,,"""Metro...in dino feels like a playlist missing it's best track: james Alvida.""",,2025-09-05
2025-09-06,Raado,2022,https://boxd.it/aZ5c8P,4.5,Yes,"That butterfly theme running through this film is what makes it stand out from a typical masala political drama.
The first half is brilliant. Tention, violence, music, cinematography... Absolute Cinema.

<b>Krishnadev Yagnik ..🔥🔥🔥</b>",,2025-09-06
2025-09-10,The Conjuring: Last Rites,2025,https://boxd.it/b1k5fd,2,,There is everything except horror.,,2025-09-09
2025-09-11,Inglourious Basterds,2009,https://boxd.it/b2kqXJ,4.5,Yes,"[Original review deleted by Letterboxd team.]


Hitler didn't die in a bunker, he died as jewish target practice, and it's the only rewrite of history I will accept.

If WWll had been this fun, history class wouldn't suck.",,2025-09-11
2025-09-15,Under the Skin,2013,https://boxd.it/b4kNid,2.5,,"<b>I would love if Scarlett Johansson will be my uber driver. 🤩🤩</b>

And if u skip 30 sec, its still the same frame and character just changed its position.",,2025-09-14
2025-09-17,The Dark Knight,2008,https://boxd.it/b5Fp2V,5,Yes,"<b>Ahhhh....I got to tell you.
It was perfect. Perfecttttt.
Everything down to the last minute detail.

✋🙂🤚
Absolute cinema.</b>",,2025-09-16
2025-09-22,The Ba***ds of Bollywood,2025,https://boxd.it/b8BnMr,3,,"Only for raghav juyal and Manoj pahwa..🙌

This is what u can do when your <b>BAAP</b> is Shah Rukh Khan....",,2025-09-22
2025-09-24,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/b9GroH,3.5,,"Next time please do less flashbacks...
Like dude in middle of fight, 25 min long flashback...⌛
""<b>Garam karke thanda chhod diya</b>""",,2025-09-23
2025-09-29,We're the Millers,2013,https://boxd.it/bcEKiL,4,,"<b>Big Black Babymaker</b>

Just got a little time in between Navratri...
Mast movie...🙌👍🏻👍🏻",,2025-09-28
2025-10-01,Dhadak 2,2025,https://boxd.it/bebOgz,4,,"It's a good movie.
This and pariyerum perumal both are great at their own places.
This movie has some good clever 4th wall break like <b>(Spoiler alert)</b> when Shekhar died and neelesh said to vidhi, they had killed him and slightly watches us through camera..🙌

PS: I need to go to edit pariyerum perumal review.",,2025-10-01
2025-10-03,Kantara - A Legend: Chapter 1,2025,https://boxd.it/bf3nwD,4,,"Rishabh shetty gave performance of the year...🔥🔥🔥
We all know that one scene will come and this movie gonna worth it all, and when it's come, we still got a goosebumps...🙌
Rishabh shetty take first part's climax and make it 100 times grand.

First half is bit slow for me. And also there are too much forced comedy.",,2025-10-02
2025-10-21,Tropic Thunder,2008,https://boxd.it/bqPCNf,3.5,,Watching it in Hindi dub was a good idea thorough..🔥,,2025-10-20
2025-10-22,Sadma,1983,https://boxd.it/brwWQf,3.5,,"""<b>He loved her with everything he had, and in the end, she remembered everyone but him...🥀🥀""</b>

Peak Sridevi 🔥
Peak Kamal Hasan 🔥",,2025-10-21
2025-10-24,The Nice Guys,2016,https://boxd.it/bteBHD,4,,"I came for entertainment and I got that.

<b>Me watching me..😎😎
(There is something inside you
It's hard to explain.
They r talking about u, boy
But you r still the same)</b>",,2025-10-24
2025-10-27,Ne Zha,2019,https://boxd.it/buOkGz,3.5,,Even after this movie ended I still belive Ne zha is a girl.,,2025-10-26
