Date,Name,Year,Letterboxd URI,Rating
2025-03-30,Desire,2011,https://boxd.it/33XU,2
2025-03-30,In the Realm of the Senses,1976,https://boxd.it/22qS,3.5
2025-03-30,Nadiya Ke Paar,1982,https://boxd.it/9LwU,4
2025-03-30,Caligula,1979,https://boxd.it/1YDS,2
2025-03-31,Moonlight,2016,https://boxd.it/d6bE,4.5
2025-04-01,Enemy,2013,https://boxd.it/5xtO,4.5
2025-04-01,Mulholland Drive,2001,https://boxd.it/297o,4.5
2025-04-05,Ugly,2013,https://boxd.it/5MPq,4
2025-04-06,Rashomon,1950,https://boxd.it/2a9K,4.5
2025-04-06,Singin' in the Rain,1952,https://boxd.it/29oY,5
2025-04-07,Talvar,2015,https://boxd.it/bTxg,4
2025-04-10,Ex Machina,2015,https://boxd.it/7T2k,4
2025-04-13,Basic Instinct,1992,https://boxd.it/2asM,4
2025-04-13,Hugo,2011,https://boxd.it/R08,5
2025-04-13,Thiruchitrambalam,2022,https://boxd.it/wptK,4
2025-04-14,Deep Water,2022,https://boxd.it/mVHk,2.5
2025-04-15,I Am Legend,2007,https://boxd.it/21DG,3.5
2025-04-16,The Roundup,2022,https://boxd.it/mVnO,3.5
2025-04-17,Chhaava,2025,https://boxd.it/JpHe,3.5
2025-04-18,The Dreamers,2003,https://boxd.it/28X4,3.5
2025-04-20,WR: Mysteries of the Organism,1971,https://boxd.it/WFK,1
2025-04-20,Blue Is the Warmest Color,2013,https://boxd.it/4O40,2.5
2025-04-20,Dragon,2025,https://boxd.it/Mxns,3.5
2025-04-21,Superboys of Malegaon,2024,https://boxd.it/KyOU,4.5
2025-04-22,Barry Lyndon,1975,https://boxd.it/25A2,4
2025-04-23,Court: State vs. A Nobody,2025,https://boxd.it/SHmm,4
2025-04-24,Reservoir Dogs,1992,https://boxd.it/2agc,4
2025-04-26,Sinners,2025,https://boxd.it/KQMM,5
2025-04-27,Y Tu Mamá También,2001,https://boxd.it/28QM,4
2025-04-27,Drive,2011,https://boxd.it/IG,4
2025-04-28,Supermen of Malegaon,2008,https://boxd.it/3PZa,5
2025-04-29,Malena,2000,https://boxd.it/1Vc0,4.5
2025-04-29,American Beauty,1999,https://boxd.it/71Y,4.5
2025-05-04,Umbarro,2025,https://boxd.it/Su0M,4
2025-05-04,Crash,1996,https://boxd.it/29n2,3.5
2025-05-05,The Girl Next Door,2004,https://boxd.it/1VSq,3.5
2025-05-06,Superbad,2007,https://boxd.it/20hO,4
2025-05-09,Kink,2013,https://boxd.it/4Ys2,3
2025-05-09,Enter the Void,2009,https://boxd.it/1dy2,3.5
2025-05-09,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2025-05-09,Scarface,1983,https://boxd.it/2b7g,4.5
2025-05-09,The Dark Knight Rises,2012,https://boxd.it/H3m,5
2025-05-11,Sunday,2008,https://boxd.it/1CHy,3.5
2025-05-11,Black Friday,2004,https://boxd.it/1oUy,4
2025-05-12,Midsommar,2019,https://boxd.it/jhxe,3.5
2025-05-13,Come and See,1985,https://boxd.it/1w9q,5
2025-05-14,Dumb and Dumber,1994,https://boxd.it/206m,3.5
2025-05-15,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,4.5
2025-05-16,Captain America: Brave New World,2025,https://boxd.it/uYDm,3
2025-05-20,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,4
2025-05-20,The Lobster,2015,https://boxd.it/7tnw,3.5
2025-05-21,Anatomy of Hell,2004,https://boxd.it/2wR0,1.5
2025-05-21,The Lighthouse,2019,https://boxd.it/icFU,3
2025-05-25,Jaane Bhi Do Yaaro,1983,https://boxd.it/1vHw,5
2025-05-25,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://boxd.it/rNS0,3.5
2025-05-25,Lady Bird,2017,https://boxd.it/dGNE,4
2025-05-26,The Darjeeling Limited,2007,https://boxd.it/24as,4
2025-05-29,Sookshmadarshini,2024,https://boxd.it/zRX0,4
2025-06-01,HIT: The Third Case,2025,https://boxd.it/E7vu,3.5
2025-06-01,Love,2015,https://boxd.it/9brE,3
2025-06-04,The Hero,1966,https://boxd.it/3MJI,5
2025-06-06,Ratatouille,2007,https://boxd.it/27ww,5
2025-06-06,Thudarum,2025,https://boxd.it/M3Yy,3
2025-06-08,Tourist Family,2025,https://boxd.it/RNEO,4.5
2025-06-08,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,2.5
2025-06-09,Stolen,2023,https://boxd.it/HJAe,4
2025-06-11,Kishkindha Kaandam,2024,https://boxd.it/CLOM,4
2025-06-13,Children of Men,2006,https://boxd.it/1Y2i,4.5
2025-06-14,Roja,1992,https://boxd.it/1BR8,3
2025-06-15,Kesari Chapter 2: The Untold Story of Jallianwala Bagh,2025,https://boxd.it/GZlM,4
2025-06-15,"Monsters, Inc.",2001,https://boxd.it/2a46,4.5
2025-06-16,Nayakan,1987,https://boxd.it/1meA,5
2025-06-18,Final Destination Bloodlines,2025,https://boxd.it/l5y4,3
2025-06-18,Sector 36,2024,https://boxd.it/Lmti,3.5
2025-06-19,Irreversible,2002,https://boxd.it/29as,4
2025-06-19,Terrifier 3,2024,https://boxd.it/D8tM,3
2025-06-20,Ballerina,2025,https://boxd.it/jKqG,4
2025-06-22,Deewaar,1975,https://boxd.it/1AxG,5
2025-06-22,21 Jump Street,2012,https://boxd.it/J0,4
2025-06-22,The Machinist,2004,https://boxd.it/248c,4
2025-06-24,22 Jump Street,2014,https://boxd.it/5Fvy,3.5
2025-06-25,Pirates II: Stagnetti's Revenge,2008,https://boxd.it/1Okm,3
2025-06-29,Return Of Hanuman,2007,https://boxd.it/3TUe,5
2025-06-30,Two,1965,https://boxd.it/5MnG,5
2025-07-02,F1,2025,https://boxd.it/yjVM,5
2025-07-04,Raid 2,2025,https://boxd.it/KAdw,3
2025-07-08,In the Mood for Love,2000,https://boxd.it/29tE,4
2025-07-10,Shame,2011,https://boxd.it/2CxU,4
2025-07-12,Hereditary,2018,https://boxd.it/hNVe,3
2025-07-12,Article 15,2019,https://boxd.it/m0mO,4
2025-07-13,Blue Velvet,1986,https://boxd.it/29BI,3
2025-07-13,Rahasya,2015,https://boxd.it/aANC,3.5
2025-07-15,Destricted,2006,https://boxd.it/6eGG,2.5
2025-07-15,Visitor Q,2001,https://boxd.it/24DE,2.5
2025-07-16,Superman,2025,https://boxd.it/E9IU,4
2025-07-18,Source Code,2011,https://boxd.it/fdo,4
2025-07-20,Cast Away,2000,https://boxd.it/20i8,4
2025-07-20,Housefull 5,2025,https://boxd.it/HleI,1.5
2025-07-21,Devi,1960,https://boxd.it/Vt4,4.5
2025-07-24,Billu,2009,https://boxd.it/1Kj0,4
2025-07-25,Kahaani,2012,https://boxd.it/2UfY,4
2025-07-28,Manorama Six Feet Under,2007,https://boxd.it/Ngc,3.5
2025-07-29,City of God,2002,https://boxd.it/2a2a,5
2025-08-03,Perfect Blue,1997,https://boxd.it/1W7A,4.5
2025-08-04,Manvini Bhavai,1993,https://boxd.it/KgEM,5
2025-08-05,Ankur Arora Murder Case,2013,https://boxd.it/6k7W,3
2025-08-05,Sitaare Zameen Par,2025,https://boxd.it/Ja4m,4
2025-08-07,Thunderbolts*,2025,https://boxd.it/BfbQ,3.5
2025-08-08,Saiyar Mori Re,2022,https://boxd.it/K1sQ,3.5
2025-08-09,Jurassic World Rebirth,2025,https://boxd.it/KUeE,3
2025-08-12,Casino,1995,https://boxd.it/2ads,4
2025-08-12,Fury,2014,https://boxd.it/6JwC,4
2025-08-12,Pariyerum Perumal,2018,https://boxd.it/gyAy,4
2025-08-13,Photograph,2019,https://boxd.it/iE22,3.5
2025-08-14,Fallen Angels,1995,https://boxd.it/1UkW,4
2025-08-15,Phule,2025,https://boxd.it/ArL0,4
2025-08-17,La Haine,1995,https://boxd.it/2as8,4
2025-08-24,Kumbalangi Nights,2019,https://boxd.it/l8wA,4.5
2025-08-25,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,4
2025-08-25,Chungking Express,1994,https://boxd.it/1UDa,3
2025-08-31,Life of Pi,2012,https://boxd.it/37pC,4.5
2025-09-01,Vash Level 2,2025,https://boxd.it/SxLc,4
2025-09-04,Se7en,1995,https://boxd.it/29zs,4.5
2025-09-04,Danny Jigar - Ek Matra,2024,https://boxd.it/KDRk,2.5
2025-09-06,Metro... In Dino,2025,https://boxd.it/Ej2k,3
2025-09-06,Raado,2022,https://boxd.it/BQz6,4.5
2025-09-07,Audition,1999,https://boxd.it/1UHm,3.5
2025-09-10,The Conjuring: Last Rites,2025,https://boxd.it/Dh8e,2
2025-09-11,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2025-09-12,Weapons,2025,https://boxd.it/EMTM,3.5
2025-09-13,Nobody 2,2025,https://boxd.it/C5Lc,3
2025-09-15,Under the Skin,2013,https://boxd.it/3mDa,2.5
2025-09-19,Bhavesh Joshi Superhero,2018,https://boxd.it/jaCc,3.5
2025-09-19,V for Vendetta,2005,https://boxd.it/29Ik,3.5
2025-09-20,Mahavatar Narsimha,2024,https://boxd.it/RdXU,3.5
2025-09-22,The Ba***ds of Bollywood,2025,https://boxd.it/XHCa,3
2025-09-24,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ,3.5
2025-09-29,We're the Millers,2013,https://boxd.it/4srQ,4
2025-10-01,Dhadak 2,2025,https://boxd.it/K3Nw,4
2025-10-03,Kantara - A Legend: Chapter 1,2025,https://boxd.it/EZaq,4
2025-10-12,Coolie,2025,https://boxd.it/HDVK,3
2025-10-13,War 2,2025,https://boxd.it/FWdI,2
2025-10-21,Tropic Thunder,2008,https://boxd.it/20WM,3.5
2025-10-22,Sadma,1983,https://boxd.it/utQ,3.5
2025-10-24,The Nice Guys,2016,https://boxd.it/94Hg,4
2025-10-27,Ne Zha,2019,https://boxd.it/mKSm,3.5
